D (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),N Test (kN)
96,5,400,410.6,,,39.53,,1073
96,5,405,410.6,,,39.53,,1122
166,5,660,274.4,,,26.56,,1744
166,5,660,274.4,,,26.56,,1695
166,5,660,274.4,,,29.62,,1862
166,5,660,274.4,,,29.62,,1872
166,5,660,274.4,,,29.62,,1695
166,5,660,274.4,,,29.62,,1735
166,5,660,274.4,,,29.62,,2029
166,5,660,274.4,,,29.62,,2107
121,12,500,294,,,28.45,,2421
121,12,500,294,,,40.28,,2587
166,5,350,274.4,,,29.62,,1784
166,5,350,274.4,,,29.62,,2038
166,5,500,274.4,,,29.62,,1999
166,5,500,274.4,,,29.62,,2043
166,5,660,274.4,,,29.62,,1975
320,7,260,249.9,,,46.57,,7909
320,7,440,249.9,,,46.57,,5900
320,7,520,249.9,,,46.57,,5890
320,7,520,249.9,,,46.57,,6380
108,4,338.88,324,,,28.99,,1117.2
108,4,338.88,324,,,28.99,,1058.4
108,4,338.88,324,,,28.99,,1073.1
125,1,438,232,,,106.02,,1275
125,1,438,232,,,106.02,,1239
127,2,445,258,,,106.02,,1491
127,2,445,258,,,106.02,,1339
133,3.5,465,352,,,106.02,,1995
133,3.5,465,352,,,106.02,,1991
133,3.5,465,352,,,106.02,,1962
133,4.7,465,352,,,106.02,,2273
133,4.7,465,352,,,106.02,,2158
133,4.7,465,352,,,106.02,,2253
127,7,445,429,,,106.02,,3404
127,7,445,429,,,106.02,,3370
127,7,445,429,,,106.02,,3364
108,4.5,378,358,,,77.4,,1535
108,4.5,378,358,,,77.4,,1578
108,4.5,378,358,,,77.4,,1518
100,2.5,300,433.2,,,45.77,,828
100,3,300,426.3,,,35.17,,777
210,2.5,630,237.2,,,26.56,,1637
100,2.5,300,244,,,34.85,,670
100,2,300,236.2,,,34.85,,537
100,1.5,300,232.3,,,34.85,,505
92,3,276,260.7,,,23.37,,538
108,4,324,332,,,41.17,,970
100,2.5,300,433.2,,,48.35,,828
210,2.5,630,237.2,,,27.82,,1637
100,2.5,300,244,,,36.19,,670
100,1.5,300,232.3,,,36.19,,505
100,2,300,236.2,,,36.19,,537
106,3,278,298.9,,,43.21,,848
101.5,3.4,203,602.7,,,32.68,,1080
153,3.2,322,413.6,,,21.54,,1191
76.5,1.7,153,361.6,,,24.37,,344
300,3,1000,274.4,,,9.9,,2636
300,3,1000,274.4,,,28.72,,3420
300,3,1000,266.9,,,24.12,,3038
92,3,276,260.7,,,20.71,,538
108,4.5,324,259.7,,,20.22,,931
108,4,324,332,,,39.23,,970
108,4.2,324,259.7,,,20.54,,916
210,2.5,630,237.2,,,26.56,,1637
106,3,418,298.9,,,36.14,,736
101.6,3.03,305,371,,,23.2,,635
101.8,3.03,305,371,,,23.2,,679
101.8,3.03,305,371,,,23.2,,632
216.5,6.61,650,452,,,24.3,,3568
318.5,10.37,955,335,,,24.2,,6901
101.6,3.03,305,371,,,40.2,,864
101.7,3.03,305,371,,,40.2,,803
216.5,6.61,650,452,,,38.2,,4200
318.4,10.37,955,335,,,39.2,,7742
101.5,3.03,305,371,,,51.3,,859
101.9,3.03,305,371,,,51.3,,926
216.4,6.61,650,452,,,46.7,,4283
318.3,10.37,955,335,,,52.2,,9297
101.4,3.03,305,371,,,23.2,,660
101.9,3.03,305,371,,,23.2,,649
101.8,3.03,305,371,,,23.2,,682
216.4,6.61,649,452,,,24.3,,3568
318.3,10.37,955,335,,,24.2,,6565
101.7,3.03,305,371,,,40.2,,800
101.3,3.03,305,371,,,40.2,,742
216.4,6.61,649,452,,,38.2,,4023
318.3,10.37,955,335,,,39.2,,7933
101.9,3.03,305,371,,,51.3,,877
101.5,3.03,305,371,,,51.3,,862
216.4,6.61,649,452,,,46.8,,4214
318.5,10.37,955,335,,,52.2,,8289
100,3,300,303.5,,,46.8,,708
100,3,300,303.5,,,46.8,,820
100,3,300,303.5,,,46.8,,766
100,3,300,303.5,,,46.8,,820
100,3,300,303.5,,,46.8,,780
100,3,300,303.5,,,46.8,,814
200,3,600,303.5,,,46.8,,2320
200,3,600,303.5,,,46.8,,2330
200,3,600,303.5,,,46.8,,2160
200,3,600,303.5,,,46.8,,2160
200,3,600,303.5,,,46.8,,2383
200,3,600,303.5,,,46.8,,2256
200,3,2000,303.5,,206.5,46.8,,1830
200,3,2001,303.5,,206.5,46.8,,1806
200,3,2002,303.5,,206.5,46.8,,1882
200,3,2003,303.5,,206.5,46.8,,2060
200,3,2004,303.5,,206.5,46.8,,2115
108,4.5,240,409.64,,,28.6,,1244.6
108,4.5,240,409.64,,,28.6,,1234.8
108,4.5,285,409.64,,,28.6,,1254.4
108,4.5,290,409.64,,,28.6,,1225
108,4.5,340,409.64,,,28.6,,1161.3
108,4.5,380,409.64,,,28.6,,1166.2
108,4.5,380,409.64,,,28.6,,1210.3
108,4.5,400,409.64,,,28.6,,1871.8
108.6,4.6,326,271.9,,,30.7,,757
114.3,3.35,343,287.33,,,32.68,,737
114.3,3.35,343,287.33,,,58.68,,952
114.3,3.35,343,287.33,,,88.78,,1136.2
114.3,3.35,343,287.33,,,105.45,,1453.1
114.3,6,343,342.95,,,32.68,,1075.4
114.3,6,343,342.95,,,58.68,,1329.1
114.3,6,343,342.95,,,88.78,,1496
114.3,6,343,342.95,,,105.45,,1683.4
114.3,6,343,342.95,,,73.3,,1361.6
219,4.78,650,350,,,41.9,,3400
219,4.72,650,350,,,41.9,,3350
219,4.75,650,350,,,34.1,,3150
219,4.74,650,350,,,41.9,,3160
219,4.73,650,350,,,34.1,,3150
219,4.72,650,350,,,41.9,,3380
219,4.73,650,350,,,41.9,,3600
219,4.73,650,350,,,41.9,,2900
219,4.74,650,350,,,41.9,,2680
165,2.43,510,350,,,68.7,,2080
165,2.76,510,350,,,68.7,,2060
165,2.81,510,350,,,68.7,,2160
165,2.81,510,350,,,68.7,,2095
165,2.76,510,350,,,68.7,,2250
165,2.72,510,350,,,48.5,,1750
165,2.74,510,350,,,48.5,,1785
165,2.75,510,350,,,38.4,,1560
95,12.5,1420,279,,209,20.6,,947
95,12.75,1420,277,,209,20.6,,938
95,12.4,1420,277,,209,20.6,,907
95,12.6,860,279,,209,20.6,,1018
95,12.7,860,277,,209,20.6,,1008
95,12.7,860,277,,209,20.6,,1034
95,12.8,1980,283,,209,20.6,,886
95,12.5,1980,280,,209,20.6,,907
95,12.6,1980,294,,209,20.6,,917
95,3.66,860,332,,209,25.3,,656
95,3.68,860,392,,209,25.3,,686
95,3.4,860,340,,209,25.3,,656
95,3.86,1420,332,,209,25.3,,567
95,3.91,1420,392,,209,25.3,,606
95,3.58,1420,340,,209,25.3,,576
95,3.76,1980,332,,209,25.3,,536
95,3.78,1980,392,,209,25.3,,567
95,3.51,1980,340,,209,25.3,,488
216,4.06,2220,289,,209,23.2,,1023
216,4.11,2220,304,,209,23.2,,1834
216,4.04,2220,293,,209,30.2,,2289
216,4.11,2220,291,,209,30.2,,2239
216,6.05,2220,395,,209,23.2,,2462
216,5.97,2220,399,,209,23.2,,2421
216,6.5,2220,300,,209,30.2,,2804
216,6.3,2220,411,,209,30.2,,2932
95,3.86,1980,337,,209,24.4,,498
95,3.4,1980,343,,209,24.4,,473
95,3.58,1980,360,,209,24.4,,473
95,3.73,1980,332,,209,24.4,,413
121,3.66,1050,300,,209,21.4,,695
121,3.73,1050,333,,209,21.4,,746
121,3.76,1050,313,,209,24.6,,837
121,3.99,1050,332,,209,24.6,,867
121,5.61,1050,349,,209,21.4,,998
121,5.41,1050,348,,209,21.4,,1018
121,5.46,1050,336,,209,24.6,,1099
121,5.56,1050,327,,209,24.6,,1079
121,3.71,2310,300,,209,21.4,,641
121,3.76,2310,333,,209,21.4,,629
121,3.71,2310,313,,209,24.6,,695
121,3.86,2310,332,,209,24.6,,755
121,5.69,2310,349,,209,21.4,,786
121,5.49,2310,348,,209,21.4,,816
121,5.64,2310,336,,209,24.6,,874
121,5.44,2310,327,,209,24.6,,865
50.8,1.65,1524,532,,207,21.6,,115.2
50.8,1.65,1524,532,,207,21.6,,114.3
50.8,1.65,1524,532,,207,28.3,,120.5
69.9,1.24,1524,532,,207,28.3,,230.9
76.2,1.65,1524,532,,207,27.4,,226.4
76.2,1.65,1524,532,,207,27.4,,245.1
76.2,1.65,1524,532,,207,27.7,,320.3
101.68,3.07,1524,605.08,735.67,,34.13,,818.47
101.73,3.1,1524,605.08,735.67,,31.16,,800.68
101.7,3.07,203.28,605.08,735.67,,34.13,,1112.06
101.7,3.07,203.25,605.08,735.67,,31.16,,1067.57
120.65,4.09,1050.04,451.61,500.42,,34.4,,1156.54
120.83,4.09,1050.04,451.61,500.42,,29.58,,1092.71
120.83,4.09,1050.04,451.61,500.42,,25.92,,949.7
120.83,4.06,241.33,451.61,500.42,,34.4,,1201.02
120.8,4.09,241.35,451.61,500.42,,29.58,,1201.02
120.83,4.09,241.35,451.61,500.42,,25.92,,1112.06
152.6,3.15,1676.4,415.13,513.31,,20.89,,938.57
152.7,3.15,1676.4,415.13,513.31,,23.1,,880.75
152.63,3.18,304.8,415.13,513.31,,20.89,,1201.02
152.6,3.15,304.93,415.13,513.31,,23.1,,1201.02
152.58,4.93,304.9,633.42,774.28,,41.99,,2909.14
152.55,4.9,304.88,633.42,774.28,,43.44,,2913.59
76.48,1.7,1524,363.28,511.25,,24.96,,244.65
76.43,1.7,152.35,363.28,511.25,,24.96,,355.86
76.43,1.73,609.55,363.28,511.25,,40.89,,411.46
76.48,1.73,609.45,363.28,511.25,,25.92,,330.28
76.45,1.68,152.35,363.28,511.25,,40.89,,434.59
76.43,1.7,152.37,363.28,511.25,,25.92,,372.32
76.45,1.7,152.4,363.28,511.25,,33.3,,433.26
76.45,1.73,152.48,363.28,511.25,,33.3,,434.59
114.3,3.18,914,420,,203,29.4,,712
114.3,3.18,914,420,,203,29.4,,756
127,2.41,914,294,,203,35.6,,627
127,2.41,914,294,,203,35.6,,623
127,2.41,914,294,,203,35.6,,658
152.4,1.55,914,336,,203,21.4,,682
152.4,1.55,914,336,,203,26.3,,721
152.4,1.55,914,336,,203,26.3,,733
355.6,11.18,1880,361,,203,38.6,,11460
355.6,11.18,1880,361,,203,33.3,,10710
355.6,4.72,1880,281,,203,21.3,,3517
355.6,7.98,2083,361,,203,23.8,,7433
127.3,1.63,711,376,,203,67.2,,1285
127.3,1.63,711,334,,203,67.2,,1285
127.1,2.95,711,376,,203,67.2,,1305
127.1,2.95,711,334,,203,67.2,,1305
140.1,9.68,406,270,,203,32.6,,2949
140.1,9.68,406,273,,203,32.6,,2949
140.4,4.93,406,293,,203,33.2,,1824
140.4,4.93,406,302,,203,33.2,,1824
168.2,4.52,813,302,,203,31.9,,2006
168.4,4.52,813,302,,203,43.8,,2233
168.2,4.52,813,302,,203,43.8,,2113
168.3,4.47,813,302,,203,23.4,,1744
88.9,5.84,1727,406,,217,41.5,,614.7
88.9,5.84,1422,406,,217,41.5,,711.7
88.9,5.84,1118,406,,217,41.5,,715.2
88.9,5.84,813,406,,217,41.5,,918.5
88.9,5.84,508,406,,217,41.5,,991.9
88.9,5.84,508,406,,217,41.5,,889.6
82.55,1.4,1727,490,,217,41.5,,224.6
82.55,1.4,1422,490,,217,41.5,,294.5
82.55,1.4,1118,490,,217,41.5,,355.8
82.55,1.4,813,490,,217,41.5,,400.3
82.55,1.4,508,490,,217,41.5,,489.3
108,4.5,4158,348.1,,200,25.4,,342
108,4.5,4158,348.1,,200,25.4,,292
108,4.5,4158,348.1,,200,37.4,,298
108,4.5,4158,348.1,,200,37.4,,280
108,4.5,4023,348.1,,200,37.4,,318
108,4.5,4023,348.1,,200,37.4,,320
108,4.5,3807,348.1,,200,25.4,,350
108,4.5,3807,348.1,,200,25.4,,370
108,4.5,3510,348.1,,200,25.4,,400
108,4.5,3510,348.1,,200,25.4,,390
108,4.5,3510,348.1,,200,37.4,,440
114,1.79,850,266,,184,37,,515
114,3.35,850,291,,186,37,,785
114,4.44,850,332,,200,37,,902
114,6,850,486,,215,37,,1334
114,5.91,1250,486,,215,25,,1177
114,1.93,1750,266,,184,33,,461
114,3.32,1750,291,,186,30,,628
114,5.94,1750,486,,215,37,,1138
114,1.78,2250,266,,184,28,,373
114,3.31,2320,291,,186,24,,535
114,6.14,2250,486,,215,28,,1000
114,1.72,2750,266,,184,36,,353
114,3.41,2750,291,,186,36,,569
114,4.49,2750,332,,200,31,,657
114,6.11,2750,486,,215,33,,941
215.9,4.09,2220,292,,200,22.9,,1650
215.9,4.09,2220,292,,200,30,,2264
215.9,6,2220,392,,200,22.9,,2442
215.9,6,2220,350,,200,30,,2869
120.9,3.76,1050,312,,200,21.1,,721
120.9,3.76,2310,312,,200,21.1,,636
120.9,5.53,1050,343,,200,21.1,,1010
120.9,5.53,1050,343,,200,24.2,,1090
95,3.65,1370,350,,200,25,,667
95,3.65,1420,350,,200,25,,583
95,3.65,1980,350,,200,25,,529
165,2.82,580.5,363.3,,200.6,48.3,,1661.6
190,1.94,663.5,256.4,,204.7,41,,1678.2
190,1.52,664.5,306.1,,207.4,48.3,,1694.8
190,1.13,664.5,185.7,,178.4,41,,1376.6
190,0.86,659,210.7,,177,41,,1349.9
165,2.82,580.5,363.3,,200.6,80.2,,2295
190,1.94,663.5,256.4,,204.7,74.7,,2592
190,1.52,663.5,306.1,,207.4,80.2,,2602
190,1.13,662.5,185.7,,178.4,80.2,,2295
190,0.86,663.5,210.7,,177,74.7,,2451
165,2.82,577.5,363.3,,200.6,108,,2673
190,1.94,660,256.4,,204.7,108,,3360
190,1.52,661.5,306.1,,207.4,108,,3260
190,1.13,660,185.7,,178.4,108,,3058
190,0.86,662,210.7,,177,108,,3070
165,4.3,2440,317.7,,200,43.3,,1149
160,4.5,2420,317.7,,200,43.3,,1561
165,4.3,3640,317.7,,200,43.3,,987
190.7,6,1150,505,,200,55.9,,3064
190.7,6,2300,505,,200,55.9,,2610
190.7,6,2450,505,,200,55.9,,2060
190.7,6,1150,505,,200,48.4,,3150
190.7,6,3450,505,,200,48.4,,2130
267.4,7,1600,461,,200,55.9,,5180
267.4,7,3200,461,,200,55.9,,4540
267.4,7,4800,461,,200,55.9,,3630
