D (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),N Test (kN)
219,7,1200,273,,200,38.2,,3200
219,7,1200,273,,200,38.2,,3200
219,7,1420,273,,200,38.2,,3070
219,7,1420,273,,200,38.2,,3070
219,7,1420,273,,200,38.2,,3070
219,7,1640,273,,200,38.2,,2956
219,7,1640,273,,200,38.2,,2956
219,7,1640,273,,200,38.2,,2956
114.3,3.35,571.5,287.33,,200,32.68,,739.5
114.3,3.35,800,287.33,,200,32.68,,631.5
114.3,3.35,1143,287.33,,200,32.68,,599.3
114.3,3.35,571.5,287.33,,200,58.68,,902.9
114.3,3.35,800,287.33,,200,58.68,,868.5
114.3,3.35,1143,287.33,,200,58.68,,809.2
114.3,3.35,571.5,287.33,,200,88.78,,1180.7
114.3,3.35,800,287.33,,200,88.78,,1198.3
114.3,3.35,1143,287.33,,200,88.78,,1111.6
114.3,3.35,571.5,287.33,,200,105.45,,1407.1
114.3,3.35,800,287.33,,200,105.45,,1375.8
114.3,3.35,1143,287.33,,200,105.45,,1319.9
114.3,6,571.5,342.95,,200,32.68,,1016.6
114.3,6,800,342.95,,200,32.68,,1057.1
114.3,6,1143,342.95,,200,32.68,,872.2
114.3,6,571.5,342.95,,200,58.68,,1263.2
114.3,6,800,342.95,,200,58.68,,1190
114.3,6,1143,342.95,,200,58.68,,1120.6
114.3,6,571.5,342.95,,200,88.78,,1448.1
114.3,6,800,342.95,,200,88.78,,1400.6
114.3,6,1143,342.95,,200,88.78,,1442.4
114.3,6,571.5,342.95,,200,105.45,,1607.4
114.3,6,800,342.95,,200,105.45,,1622.5
114.3,6,1143,342.95,,200,105.45,,1574.3
114.3,6,571.5,342.95,,200,73.3,,1308.5
114.3,6,800,342.95,,200,22.5,,925.9
114.3,6,1143,342.95,,200,58.2,,1126.9
160.1,4.98,2000,280,,200,40,,1261
160.2,4.96,2500,281,,200,41,,1244
160.3,5,3000,270,,200,43,,1236
160.2,4.97,3500,273,,200,41,,1193
159.9,4.98,4000,281,,200,45,,1091
159.8,5.01,2000,283,,200,70,,1650
159.7,5.2,2500,281,,200,71,,1562
159.8,5.1,3000,276,,200,73,,1468
160.1,4.98,3500,276,,200,74,,1326
160.2,5.02,4000,281,,200,71,,1231
160.3,5.03,2000,281,,200,99,,2000
159.8,5.01,2500,275,,200,100,,1818
159.7,4.97,3000,275,,200,101,,1636
159.6,4.98,3500,270,,200,106,,1454
159.8,4.97,4000,270,,200,102,,1333
218.25,6.05,4365,302.04,,,39.32,,1716.16
218.25,6.45,3285,302.04,,,42.17,,2064.3
218.25,6.3,2204,302.04,,,37.07,,2412.44
218.25,6.5,943,302.04,,,37.07,,2755.67
218.5,6.38,941.5,302.04,,,37.07,,2745.86
219.25,6.05,941.5,302.04,,,37.07,,2804.7
95,3.8,4318,281.45,,,39.32,,202.02
95.25,3.7,4320,281.45,,,39.32,,154.95
95.5,3.63,4320,281.45,,,39.32,,140.24
95.25,3.78,2844,281.45,,,42.17,,279.49
95.25,3.7,2844,281.45,,,42.17,,281.45
95.5,3.83,2844,281.45,,,42.17,,291.26
95.5,3.73,1942.5,281.45,,,37.07,,362.85
95.25,3.78,1942,281.45,,,37.07,,406.98
95.25,3.78,1943.25,281.45,,,37.07,,406.98
95.5,3.75,1469,281.45,,,42.17,,444.24
95.25,3.73,1466.75,281.45,,,42.17,,441.3
95,3.7,1468,281.45,,,42.17,,495.24
95.5,3.7,997.5,281.45,,,42.17,,524.66
95.25,3.55,992,281.45,,,42.17,,507
95.25,3.68,995,281.45,,,42.17,,534.46
95.25,3.73,504,281.45,,,42.17,,637.43
95.5,3.75,503.75,281.45,,,42.17,,632.53
95.5,3.73,505,281.45,,,42.17,,666.85
273,8,1100,306.95,,,34.72,,5579.98
273,8,1100,306.95,,,11.87,,4040.34
273,8,1100,306.95,,,11.87,,3844.21
273,8,1100,306.95,,,17.46,,5197.52
273,8,1100,306.95,,,17.46,,5295.59
204,2,880,235.36,,,12.16,,1068.92
204,2,880,235.36,,,12.16,,1039.5
204,2,840,235.36,,,33.44,,1294.48
204,2,840,235.36,,,46.09,,1637.71
204,2,840,235.36,,,46.88,,1691.65
96,5,410,410.9,,,12.16,,912.02
96,5,450,410.9,,,12.16,,843.37
96,5,450,410.9,,,33.44,,1044.41
96,5,450,410.9,,,33.44,,1166.99
96,5,400,410.9,,,46.09,,1176.8
96,5,400,410.9,,,46.09,,1171.89
96,5,400,410.9,,,46.09,,1073.83
96,5,405,410.9,,,46.09,,1122.86
121,12,500,294.2,,,12.16,,2417.34
121,12,500,294.2,,,12.16,,2373.21
121,12,500,294.2,,,33.44,,2500.7
166,5,660,274.59,,,31.38,,1745.58
166,5,660,274.59,,,31.38,,1696.55
166,5,660,274.59,,,34.72,,1863.26
166,5,660,274.59,,,34.72,,1873.07
166,5,660,274.59,,,34.72,,1696.55
166,5,660,274.59,,,34.72,,1735.78
166,5,660,274.59,,,34.72,,2029.98
166,5,660,274.59,,,34.72,,2108.43
121,12,500,294.2,,,11.87,,2333.98
121,12,500,294.2,,,33.44,,2422.24
121,12,500,294.2,,,46.88,,2588.96
166,5,350,274.59,,,34.72,,1784.81
166,5,350,274.59,,,34.72,,2039.78
166,5,500,274.59,,,34.72,,2000.56
166,5,500,274.59,,,34.72,,2044.69
166,5,660,274.59,,,34.72,,1976.04
166,5,1100,274.59,,,34.72,,1985.85
320,7,260,250.07,,,52.96,,7913.97
320,7,440,250.07,,,52.96,,5903.6
320,7,520,250.07,,,52.96,,5893.8
320,7,520,250.07,,,52.96,,6384.13
121,12,200,294.2,,,9.17,,2706.64
121,12,200,294.2,,,15.69,,2745.86
121,12,200,294.2,,,15.69,,2843.93
108,4,324,339.11,,,34.03,,1117.96
108,4,324,339.11,,,34.03,,1059.12
108,4,324,339.11,,,34.03,,1073.83
108,4,648,339.11,,,34.03,,825.72
108,4,648,339.11,,,34.03,,828.66
108,4,864,339.11,,,34.03,,766.88
108,4,864,339.11,,,34.03,,802.18
108,4,864,339.11,,,34.03,,869.85
108,4,1080,339.11,,,34.03,,837.49
108,4,1080,339.11,,,34.03,,783.55
108,4,1620,339.11,,,34.03,,708.04
108,4,1620,339.11,,,34.03,,647.24
108,4,1620,339.11,,,34.03,,644.3
108,4,2160,339.11,,,34.03,,672.74
108,4,2160,339.11,,,34.03,,698.23
108,4,2160,339.11,,,34.03,,676.66
108,4,2700,339.11,,,34.03,,649.2
108,4,3240,339.11,,,34.03,,559.96
108,4,3240,339.11,,,34.03,,478.56
108,4,3240,339.11,,,34.03,,601.15
108,4,4320,339.11,,,34.03,,373.63
108,4,4320,339.11,,,34.03,,343.23
108,4,4320,339.11,,,34.03,,294.2
108,4,5400,339.11,,,34.03,,225.55
108,4,5400,339.11,,,34.03,,210.84
108,4,5400,339.11,,,34.03,,212.8
101.8,2.94,200,319.7,430.51,,17.95,,627.63
101.8,2.94,200,319.7,430.51,,37.36,,659.99
101.8,5.7,200,304.99,421.69,,17.95,,953.21
101.8,5.7,200,304.99,421.69,,37.36,,970.86
100,0.52,200,244.19,350.1,,17.95,,238.3
100,0.52,200,244.19,350.1,,17.95,,242.22
100,0.52,200,244.19,350.1,,17.95,,237.32
100,0.52,200,244.19,350.1,,37.36,,389.32
100,0.52,200,244.19,350.1,,37.36,,394.23
100,0.52,200,244.19,350.1,,37.36,,404.03
150,0.7,480,245.17,,,22.56,,538.39
150,0.7,800,245.17,,,22.56,,513.87
150,1.4,800,245.17,,,22.56,,697.25
150,2.1,800,245.17,,,22.56,,787.47
150,0.7,480,245.17,,,33.44,,744.32
150,2.1,800,245.17,,,35.3,,1073.83
159,5.07,477,391.5,,,41.5,,2230
630,7,1890,291.4,,,36,,16650
630,7.61,1890,349.5,,,35,,18000
630,8.44,1890,350,,,34.5,,18600
630,10.21,1890,323.3,,,38.4,,20500
630,11.6,1890,347.2,,,46,,24400
720,8.3,2160,312,,,15,,15000
820,8.93,2460,331,,,45,,33600
1020,9.64,3060,336,,,16.9,,30000
1020,13.25,3060,368.7,,,28.9,,46000
190.7,6,1150,505.04,604.09,,55.9,,3062.62
190.7,6,2300,505.04,604.09,,55.9,,2611.51
190.7,6,3450,505.04,604.09,,55.9,,2059.4
190.7,6,1150,505.04,604.09,,48.35,,3147.93
190.7,6,3450,505.04,604.09,,48.35,,2132.95
267.4,7,1600,460.91,593.3,,55.9,,5180.85
267.4,7,3200,460.91,593.3,,55.9,,4533.61
267.4,7,4800,460.91,593.3,,55.9,,3625.52
267.4,7,1600,460.91,593.3,,48.35,,5187.72
267.4,7,4800,460.91,593.3,,48.35,,3903.05
323.9,5.6,1000,443.9,,,92.3,,11481
323.9,5.6,4000,478,,,92.3,,10401
139.7,9.22,914.4,681.92,,,38.41,,3047.03
139.7,9.22,914.4,681.92,,,38.41,,2597.76
139.7,9.22,3048,681.92,,,38.41,,2001.7
177.8,12.75,914.4,593.66,,,38.41,,5253.35
177.8,12.75,914.4,593.66,,,38.41,,5524.69
177.8,12.75,3048,593.66,,,38.41,,4310.33
165.2,4.5,661,413.84,493.27,,40.89,,1562.2
165.2,4.5,1322,413.84,493.27,,40.89,,1412.16
165.2,4.5,1982,413.84,493.27,,40.89,,1371.95
165.2,4.5,2974,413.84,493.27,,40.89,,1147.38
165.2,4.5,3965,413.84,493.27,,40.89,,1018.91
165.2,4.5,4956,413.84,493.27,,40.89,,781.59
190,1.11,662,203.1,299,662,110.3,,3030
190,1.11,656,203.1,299,656,110.3,,2940
190,1.11,662,203.1,299,662,110.3,,3140
190,1.11,662,203.1,299,662,94.7,,2462
190,1.11,664,203.1,299,664,110.3,,3055
190,1.11,660,203.1,299,660,110.3,,3000
140.8,3,635,285,,,28.18,,881
141.4,6.5,635,313,,,23.81,,1825
140,6.68,635,537,,,28.18,,2715
101.5,2.4,2175,410,475,,58,,523
165,2.82,580.5,363.3,466.9,,48.3,,1662
190,1.94,663.5,256.4,369,,41,,1678
190,1.52,664.5,306.1,381.2,,48.3,,1695
190,1.13,664.5,185.7,307.6,,41,,1377
190,0.86,659,210.7,322.1,,41,,1350
165,2.82,580.5,363.3,466.9,,80.2,,2295
190,1.94,663.5,256.4,369,,74.7,,2592
190,1.52,663.5,306.1,381.2,,80.2,,2602
190,1.13,662.5,185.7,307.6,,80.2,,2295
190,0.86,663.5,210.7,322.1,,74.7,,2451
165,2.82,577.5,363.3,466.9,,108,,2673
190,1.94,660,256.4,369,,108,,3360
190,1.52,661.5,306.1,381.2,,108,,3260
190,1.13,660,185.7,307.6,,108,,3058
190,0.86,662,210.7,322.1,,108,,3070
159,4.8,650,433,568,,64.5,,2150
219,6,1000,325,390,,58,,2989
219,4,1000,325,390,,47.6,,1930.6
219,4,1000,325,390,,52.3,,1979.6
133,4.5,1862,325,,,42.2,,882
133,4.5,1862,325,,,42.2,,715
133,4.5,2793,325,,,42.2,,784
133,4.5,465,325,,,42.2,,800
114.43,3.98,300,343,,,31.4,,948
114.57,3.99,300,343,,,93.6,,1308
114.43,3.82,300,343,,,34.7,,929
114.26,3.93,300,343,,,97.2,,1359
114.88,4.91,300.5,365,,,34.7,,1380
115.04,4.92,300,365,,,104.9,,1787
115.02,5.02,300.5,365,,,57.6,,1413
114.49,3.75,299.3,343,,,57.6,,1038
114.29,3.75,300,343,,,57.6,,1067
114.3,3.85,300,343,,,31.9,,998
114.09,3.85,300.5,343,,,31.9,,948
114.54,3.84,300,343,,,98.9,,1359
114.37,3.85,299.5,343,,,98.9,,1182
149,2.96,447,308,340,,25.4,,941
149,2.96,447,308,340,,40.5,,1064
149,2.96,447,308,340,,40.5,,1080
149,2.96,447,308,340,,77,,1781
301,2.96,903,279,284,,25.4,,2382
300,2.96,900,279,284,,41.1,,3277
300,2.96,900,279,284,,41.1,,3152
301,2.96,903,279,284,,80.3,,5540
450,2.96,1350,279,284,,25.4,,4415
450,2.96,1350,279,284,,41.1,,6870
450,2.96,1350,279,284,,41.1,,6985
450,2.96,1350,279,284,,85.1,,11665
122,4.54,366,576,636,,25.4,,1509
122,4.54,366,576,636,,40.5,,1657
122,4.54,366,576,636,,40.5,,1663
122,4.54,366,576,636,,77,,2100
239,4.54,717,507,531,,25.4,,3035
238,4.54,714,507,531,,40.5,,3583
238,4.54,714,507,531,,40.5,,3647
238,4.54,714,507,531,,77,,5578
361,4.54,1083,525,548,,25.4,,5633
361,4.54,1083,525,548,,41.1,,7260
360,4.54,1080,525,548,,41.1,,7045
360,4.54,1080,525,548,,85.1,,11505
108,6.47,324,853,940,,25.4,,2275
109,6.47,327,853,940,,40.5,,2446
108,6.47,324,853,940,,40.5,,2402
108,6.47,324,853,940,,77,,2713
222,6.47,666,843,875,,25.4,,4964
222,6.47,666,843,875,,40.5,,5638
222,6.47,666,843,875,,40.5,,5714
222,6.47,666,843,875,,77,,7304
337,6.47,1011,823,863,,25.4,,8475
337,6.47,1011,823,863,,41.1,,9668
337,6.47,1011,823,863,,41.1,,9835
337,6.47,1011,823,863,,85.1,,13776
100,1.9,300,404,,,121.6,,1125
100,1.9,300,404,,,121.6,,1085
100,1.9,300,404,,,121.6,,1100
100,1.9,300,404,,,121.6,,1170
100,1.9,900,404,,,121.6,,1065
100,1.9,900,404,,,121.6,,980
100,1.9,1500,404,,,121.6,,907
100,1.9,1500,404,,,121.6,,760
100,1.9,3000,404,,,121.6,,288
100,1.9,3000,404,,,121.6,,317.5
360,6,1760,498,567,,31.5,,6888
300,12,1580,479,631,,31.5,,9823
114.85,3,1000,354.05,432.35,,40.3,,806.4
114.85,3,1500,354.05,432.35,,40.3,,688.2
114.85,3,2000,354.05,432.35,,40.3,,632.2
114.85,3,2500,354.05,432.35,,40.3,,566.1
127.3,3,1000,345.2,430.4,,40.3,,912.1
127.3,3,1500,345.2,430.4,,40.3,,848.5
127.3,3,2000,345.2,430.4,,40.3,,715.8
127.3,3,2500,345.2,430.4,,40.3,,638.8
139.2,3,1000,361.95,457.85,,40.3,,1059.8
139.2,3,1500,361.95,457.85,,40.3,,941.9
139.2,3,2000,361.95,457.85,,40.3,,868.3
139.2,3,2500,361.95,457.85,,40.3,,750.7
152.4,3,1000,488.2,549.6,,30.9,,1463.3
152.4,3,1500,488.2,549.6,,30.9,,1209.1
152.4,3,2000,488.2,549.6,,30.9,,1167.3
152.4,3,2500,394.3,480.2,,30.9,,968.9
165.1,3,1000,438.2,500.9,,30.9,,1549.5
165.1,3,1500,438.2,500.9,,30.9,,1338
165.1,3,2000,438.2,500.9,,30.9,,1234.5
165.1,3,2500,430.3,480.15,,30.9,,1232
193.7,3,1000,398.8,479.1,,30.9,,1999.6
193.7,3.5,1500,398.8,479.1,,30.9,,1817.1
193.7,3.5,2000,398.8,479.1,,30.9,,1796.3
193.7,3.5,2500,392.2,470.8,,30.9,,1620.8
150,3,675,324.4,466.5,,52.6,,1462
150,3,900,324.4,466.5,,52.6,,1489
111.64,1.9,400,261.3,,,47.8,,666.6
111.64,1.9,400,261.3,,,56.7,,701.9
113.64,3.64,400,259.6,,,56.7,,1011
76.21,2.52,300,286,381,,145,,752
76.12,2.51,300,286,381,,145,,762
76.11,2.48,300,286,381,,145,,774
76.19,2.99,300,278,374,,145,,805
75.84,2.99,300,278,374,,145,,796
75.97,2.98,300,278,374,,145,,801
76.18,3.31,300,305,402,,145,,841
159,6,2135,394,,,37.7,,1414
159,6,2135,457,,,120.1,,2792
159,6,2135,487,,,116,,2193
114.3,2.74,300,235,,,56.2,,901.81
114.3,2.74,300,235,,,66.75,,981.23
114.3,2.74,300,235,,,107.2,,1295.06
114.3,5.9,300,355,,,56.2,,1735.77
114.3,5.9,300,355,,,66.75,,1818.62
114.3,5.9,300,355,,,107.2,,1989.86
114.3,2.74,600,235,,,56.2,,947.75
114.3,2.74,600,235,,,66.75,,1031.92
114.3,2.74,600,235,,,107.2,,1296.61
114.3,5.9,600,355,,,56.2,,1723.19
114.3,5.9,600,355,,,66.75,,1810.94
114.3,5.9,600,355,,,107.2,,1968.06
114.3,2.74,900,235,,,56.2,,877.28
114.3,2.74,900,235,,,66.75,,983.51
114.3,2.74,900,235,,,107.2,,1233.24
114.3,5.9,900,355,,,56.2,,1592.48
114.3,5.9,900,355,,,66.75,,1713.34
114.3,5.9,900,355,,,107.2,,1907.29
152,1.7,900,270,,,73,,1550
152,1.7,900,270,,,73,,1458
152,1.7,500,270,,,73,,1548
152,1.7,500,270,,,73,,1448
152,1.7,660,328,,,85,,1863
152,1.7,660,328,,,85,,1895
114.3,3.6,250,403,505,213,173.5,63,2422
114.3,3.6,250,403,505,213,173.5,63,2340
114.3,3.6,250,403,505,213,184.2,63,2497
114.3,3.6,250,403,505,213,184.2,63,2314
114.3,3.6,250,428,519,209,173.5,63,2610
114.3,3.6,250,428,519,209,173.5,63,2633
219.1,5,600,380,511,205,51.6,28,3118
219.1,5,600,380,511,205,185.1,66,7837
219.1,5,600,380,511,205,193.3,67,8664
219.1,10,600,381,509,212,51.6,28,5241
219.1,10,600,381,509,212,185.1,66,9085
219.1,10,600,381,509,212,193.3,67,9187
219.1,6.3,600,300,467,202,163,62,6915
219.1,6.3,600,300,467,202,175.4,58,7407
219.1,6.3,600,300,467,202,148.8,54,6838
219.1,6.3,600,300,467,202,174.5,56,7569
219.1,16,4195,374,551,202,186,,6402
273,10,4195,412,521,204,180,,8648
165,2.37,615,287.5,448.4,207.4,30.2,31.2,1008
165,2.37,615,287.5,448.4,207.4,30.2,31.2,996
558.1,16.53,997.5,546,,195.59,31.7,30.35,29050
557.65,16.52,994.9,546,,195.59,31.7,30.35,28830
559.4,16.54,994.85,546,,195.59,31.7,30.35,29590
114.3,3.6,250,403,505,213,173.5,63,2422
114.3,3.6,250,403,505,213,173.5,63,2340
114.3,3.6,250,403,505,213,184.2,63,2497
114.3,3.6,250,403,505,213,184.2,63,2314
114.3,6.3,250,428,519,209,173.5,63,2610
114.3,6.3,250,428,519,209,173.5,63,2633
219.1,5,600,380,511,205,51.6,28,3118
219.1,5,600,380,511,205,185.1,66,7837
219.1,5,600,380,511,205,193.3,67,8664
219.1,10,600,381,509,212,51.6,28,5241
219.1,10,600,381,509,212,185.1,66,9085
219.1,10,600,381,509,212,193.3,67,9187
219.1,16,4195,374,551,202,186,68,6324
273,10,4195,412,521,204,180,68,8592
113.7,2.09,342,269.9,395.4,,59,45.8,904
113.7,2.06,342,269.9,395.4,,113.2,45.83,1491
113.7,2.05,342,269.9,395.4,,130.8,45.61,1535
114.9,3.93,342,304.3,370.8,,59,45.8,1163
114.9,4.01,342,304.3,370.8,,113.2,45.83,1631
114.9,4.01,342,304.3,370.8,,130.8,45.61,1748
107.9,7.99,342,251.8,421.1,,59,45.8,1249
107.9,8.01,342,251.8,421.1,,113.2,45.83,1482
107.9,8.03,342,251.8,421.1,,130.8,45.61,1613
168.3,2.8,300,317.8,,210,37.71,,1282.5
168.3,2.8,300,317.8,,210,93.74,,2375.7
159,3,300,336.28,,210,33.39,,1185.7
159,3,300,336.28,,210,90.85,,2021.7
120,2.5,300,445.52,,210,41.44,,879.2
120,2.5,300,445.52,,210,94.68,,1417.2
100,3,300,432.09,,210,34.04,,724
100,3,300,432.82,,210,93.51,,1141.3
101.6,3,300,425.03,,210,34.04,,703.3
101.6,3,300,425.03,,210,93.51,,1075.5
200,6,695,451,577,215,38,27.6,3503
200,6,695,451,577,215,38,27.6,3519
200,6,695,451,577,215,80.5,35.1,4463
200,6,695,451,577,215,80.5,35.1,4423
200,6,695,451,577,215,112.1,40.4,5071
200,6,695,451,577,215,112.1,40.4,5040
200,6,695,451,577,215,112.1,40.4,5099
153,1.54,306,345,512,187,73.2,38.8,1823
153,1.54,306,345,512,187,73.2,38.8,1842
153,1.54,306,345,512,187,73.2,38.8,1872
250,2.48,500,326,477,191,73.2,38.8,4871
250,2.48,500,326,477,191,73.2,38.8,4528
250,2.48,500,326,477,191,73.2,38.8,4733
372,3.64,744,320,451,185,73.2,38.8,9163
372,3.64,744,320,451,185,73.2,38.8,9996
372,3.64,744,320,451,185,73.2,38.8,9604
469,4.66,938,291,448,186,73.2,38.8,15827
469,4.66,938,291,448,186,73.2,38.8,16670
469,4.66,938,291,448,186,73.2,38.8,15239
157,2.48,314,326,477,191,73.2,38.8,2117
157,2.48,314,326,477,191,73.2,38.8,2058
157,2.48,314,326,477,191,73.2,38.8,2068
282,4.36,564,322,484,194,73.2,38.8,6811
282,4.36,564,322,484,194,73.2,38.8,6380
282,4.36,564,322,484,194,73.2,38.8,6860
358,5.66,716,290,450,184,73.2,38.8,9947
358,5.66,716,290,450,184,73.2,38.8,10045
358,5.66,716,290,450,184,73.2,38.8,9609
474,7.42,948,317,468,194,73.2,38.8,17787
474,7.42,948,317,468,194,73.2,38.8,18306
474,7.42,948,317,468,194,73.2,38.8,17885
153,3.64,306,320,451,185,73.2,38.8,2264
153,3.64,306,320,451,185,73.2,38.8,2274
153,3.64,306,320,451,185,73.2,38.8,2205
235,5.66,470,290,450,184,73.2,38.8,5390
235,5.66,470,290,450,184,73.2,38.8,5047
235,5.66,470,290,450,184,73.2,38.8,5096
393,9.38,786,312,451,196,73.2,38.8,13936
393,9.38,786,312,451,196,73.2,38.8,14406
393,9.38,786,312,451,196,73.2,38.8,14161
477,11.36,954,310,446,192,73.2,38.8,20237
477,11.36,954,310,446,192,73.2,38.8,20462
477,11.36,954,310,446,192,73.2,38.8,19854
44.45,1.25,700,250,,,42.4,,45.2
44.45,1.6,700,250,,,42.4,,69.4
44.45,2,700,250,,,42.4,,82
44.45,1.25,700,250,,,51.7,,68.6
44.45,1.6,700,250,,,51.7,,86.5
44.45,2,700,250,,,51.7,,104.8
44.45,1.25,700,250,,,60.7,,85.4
44.45,1.6,700,250,,,60.7,,101
44.45,2,700,250,,,60.7,,124
57.15,1.25,700,250,,,42.4,,119.8
57.15,1.6,700,250,,,42.4,,135
57.15,2,700,250,,,42.4,,144.3
57.15,1.25,700,250,,,51.7,,151.6
57.15,1.6,700,250,,,51.7,,173.1
57.15,2,700,250,,,51.7,,188.3
57.15,1.25,700,250,,,60.7,,162
57.15,1.6,700,250,,,60.7,,181.7
57.15,2,700,250,,,60.7,,206.1
63.5,1.25,700,250,,,42.4,,150.5
63.5,1.6,700,250,,,42.4,,185.6
63.5,2,700,250,,,42.4,,202.3
63.5,1.25,700,250,,,51.7,,169.3
63.5,1.6,700,250,,,51.7,,210.5
63.5,2,700,250,,,51.7,,231.3
63.5,1.25,700,250,,,60.7,,181.2
63.5,1.6,700,250,,,60.7,,226.7
63.5,2,700,250,,,60.7,,240.6
44.45,1.25,490,250,,,42.4,,82
44.45,1.6,490,250,,,42.4,,96.5
44.45,2,490,250,,,42.4,,127.1
44.45,1.25,490,250,,,51.7,,94
44.45,1.6,490,250,,,51.7,,117.1
44.45,2,490,250,,,51.7,,138
44.45,1.25,490,250,,,60.7,,109.9
44.45,1.6,490,250,,,60.7,,130
44.45,2,490,250,,,60.7,,145.3
57.15,1.25,490,250,,,42.4,,163
57.15,1.6,490,250,,,42.4,,181.6
57.15,2,490,250,,,42.4,,205.8
57.15,1.25,490,250,,,51.7,,176.5
57.15,1.6,490,250,,,51.7,,192.1
57.15,2,490,250,,,51.7,,221.9
57.15,1.25,490,250,,,60.7,,187.2
57.15,1.6,490,250,,,60.7,,201.5
57.15,2,490,250,,,60.7,,231.3
63.5,1.25,490,250,,,42.4,,191.3
63.5,1.6,490,250,,,42.4,,226.3
63.5,2,490,250,,,42.4,,243.6
63.5,1.25,490,250,,,51.7,,208
63.5,1.6,490,250,,,51.7,,240.8
63.5,2,490,250,,,51.7,,269
63.5,1.25,490,250,,,60.7,,239.1
63.5,1.6,490,250,,,60.7,,262
63.5,2,490,250,,,60.7,,280.2
44.45,1.25,350,250,,,42.4,,83.83
44.45,1.6,350,250,,,42.4,,93.47
44.45,2,350,250,,,42.4,,104.22
44.45,1.25,350,250,,,51.7,,95.19
44.45,1.6,350,250,,,51.7,,104.45
44.45,2,350,250,,,51.7,,114.77
44.45,1.25,350,250,,,60.7,,106.52
44.45,1.6,350,250,,,60.7,,115.38
44.45,2,350,250,,,60.7,,125.27
57.15,1.25,350,250,,,42.4,,126.4
57.15,1.6,350,250,,,42.4,,139.22
57.15,2,350,250,,,42.4,,153.62
57.15,1.25,350,250,,,51.7,,145.86
57.15,1.6,350,250,,,51.7,,158.17
57.15,2,350,250,,,51.7,,172
57.15,1.25,350,250,,,60.7,,165.26
57.15,1.6,350,250,,,60.7,,177.06
57.15,2,350,250,,,60.7,,190.33
63.5,1.25,350,250,,,42.4,,150.42
63.5,1.6,350,250,,,42.4,,164.95
63.5,2,350,250,,,42.4,,181.34
63.5,1.25,350,250,,,51.7,,174.69
63.5,1.6,350,250,,,51.7,,188.69
63.5,2,350,250,,,51.7,,204.46
63.5,1.25,350,250,,,60.7,,198.88
63.5,1.6,350,250,,,60.7,,212.35
63.5,2,350,250,,,60.7,,227.53
140,4.5,420,374.2,,,28,,1275.3
140,4.5,420,374.2,,,28,,1294.5
140,4.5,420,374.2,,,39,,1406.4
140,4.5,420,374.2,,,39,,1405
140,4.5,420,374.2,,,52,,1524.3
140,4.5,420,374.2,,,52,,1530.4
140,4.5,420,462.9,,,28,,1646.7
140,4.5,420,462.9,,,28,,1662.3
140,4.5,420,462.9,,,39,,1763.9
140,4.5,420,462.9,,,39,,1753.8
140,4.5,420,462.9,,,52,,1865.2
140,4.5,420,462.9,,,52,,1871.6
216.3,8.2,648.9,381.1,,,41,,3788.4
216.3,8.2,648.9,381.1,,,41,,3800.3
190.7,5.3,572.1,382.5,,,41,,2530.3
190.7,5.3,572.1,382.5,,,41,,2544.8
216.3,4.5,648.9,371.9,,,41,,2740.4
216.3,4.5,648.9,371.9,,,41,,2751.2
60,1.87,180,282,358,201.5,85.2,41.54,312
60,1.87,180,282,358,201.5,85.2,41.54,320
100,1.87,300,282,358,201.5,85.2,41.54,822
100,1.87,300,282,358,201.5,85.2,41.54,845
150,1.87,450,282,358,201.5,85.2,41.54,1701
150,1.87,450,282,358,201.5,85.2,41.54,1670
200,1.87,600,282,358,201.5,85.2,41.54,2783
200,1.87,600,282,358,201.5,85.2,41.54,2824
250,1.87,750,282,358,201.5,85.2,41.54,3950
250,1.87,750,282,358,201.5,85.2,41.54,4102
60,2,180,404,514,207,85.2,41.54,427
60,2,180,404,514,207,85.2,41.54,415
100,2,300,404,514,207,85.2,41.54,930
100,2,300,404,514,207,85.2,41.54,920
150,2,450,404,514,207,85.2,41.54,1870
150,2,450,404,514,207,85.2,41.54,1743
200,2,600,404,514,207,85.2,41.54,3020
200,2,600,404,514,207,85.2,41.54,3011
250,2,750,404,514,207,85.2,41.54,4442
250,2,750,404,514,207,85.2,41.54,4550
60,2,180,404,514,207,90,41.54,432
60,2,180,404,514,207,90,41.54,437
150,2,450,404,514,207,90,41.54,1980
150,2,450,404,514,207,90,41.54,1910
250,2,750,404,514,207,90,41.54,4720
250,2,750,404,514,207,90,41.54,4800
108,4.5,4158,348.1,,202,31.8,27.6,342
108,4.5,4158,348.1,,202,31.8,27.6,292
108,4.5,4158,348.1,,202,46.8,28.4,298
108,4.5,4158,348.1,,202,46.8,28.4,280
108,4.5,4023,348.1,,202,46.8,28.4,318
108,4.5,4023,348.1,,202,46.8,28.4,320
108,4.5,3807,348.1,,202,31.8,27.6,350
108,4.5,3807,348.1,,202,31.8,27.6,370
108,4.5,3510,348.1,,202,31.8,27.6,400
108,4.5,3510,348.1,,202,31.8,27.6,390
108,4.5,3510,348.1,,202,46.8,28.4,440
151,3.2,620,265,,205.7,25.4,23.67,1129
150,3.2,620,265,,205.7,25.4,23.67,1123
199,3.2,835,265,,205.7,25.4,23.67,1535
198,3.2,835,265,,205.7,25.4,23.67,1560
