f,c,t,b,n,theta,mode_1_number,freq_Hz
6.0,121.0,2.02,3494.0,10.0,47.0,1,4.0217
29.0,99.0,2.78,1313.0,8.0,40.0,1,97.27
21.0,124.0,3.37,3482.0,7.0,29.0,1,11.339
38.0,77.0,0.89,1324.0,8.0,46.0,1,104.45
49.0,138.0,2.15,1486.0,8.0,56.0,3,137.03
34.0,145.0,4.09,1660.0,7.0,57.0,1,84.962
19.0,63.0,3.41,502.0,8.0,39.0,1,415.84
30.0,149.0,4.63,2476.0,3.0,48.0,1,40.072
21.0,86.0,0.87,1674.0,7.0,43.0,1,47.973
16.0,123.0,0.57,2948.0,7.0,57.0,1,13.787
39.0,115.0,4.74,2523.0,5.0,55.0,1,40.914
36.0,142.0,0.7,3573.0,9.0,27.0,1,13.405
9.0,52.0,2.44,3667.0,8.0,22.0,1,9.2815
24.0,92.0,1.73,535.0,9.0,37.0,0,nan
22.0,72.0,4.27,2216.0,6.0,59.0,1,32.708
11.0,80.0,2.56,2167.0,2.0,58.0,1,58.951
39.0,144.0,2.34,3835.0,6.0,37.0,1,15.711
21.0,106.0,1.81,1520.0,5.0,34.0,1,58.678
39.0,115.0,4.36,2198.0,8.0,38.0,1,42.459
45.0,139.0,1.13,2232.0,7.0,53.0,1,57.191
10.0,74.0,0.96,2283.0,9.0,39.0,1,13.559
16.0,72.0,1.95,2263.0,3.0,55.0,1,32.604
18.0,142.0,2.79,2322.0,3.0,51.0,1,29.172
12.0,123.0,3.6,2897.0,6.0,23.0,1,11.038
30.0,116.0,2.63,3916.0,4.0,58.0,1,15.5
6.0,102.0,0.68,1027.0,3.0,52.0,1,48.619
27.0,124.0,4.83,718.0,3.0,51.0,1,376.92
9.0,78.0,3.59,808.0,8.0,56.0,1,103.33
12.0,120.0,4.49,2727.0,2.0,40.0,1,48.567
28.0,133.0,3.07,3322.0,9.0,39.0,1,16.409
19.0,69.0,3.56,520.0,6.0,52.0,1,453.07
45.0,100.0,3.65,1478.0,3.0,42.0,1,109.74
24.0,110.0,1.82,1609.0,9.0,54.0,1,63.585
36.0,101.0,2.82,1601.0,4.0,50.0,1,89.59
17.0,140.0,4.75,2933.0,6.0,29.0,1,14.662
21.0,133.0,4.7,1638.0,8.0,43.0,1,54.94
28.0,118.0,2.69,619.0,3.0,36.0,0,nan
13.0,87.0,3.91,633.0,6.0,51.0,1,233.59
8.0,52.0,2.64,2491.0,4.0,51.0,1,35.143
13.0,65.0,4.25,2016.0,8.0,56.0,1,24.839
15.0,145.0,2.83,3821.0,9.0,26.0,1,7.2099
7.0,89.0,1.97,3028.0,5.0,40.0,1,8.6499
14.0,128.0,4.72,2368.0,8.0,51.0,1,19.246
24.0,56.0,1.42,3246.0,8.0,49.0,1,13.097
38.0,70.0,2.36,3635.0,8.0,57.0,1,16.385
41.0,116.0,4.54,2012.0,2.0,58.0,1,92.6
27.0,86.0,2.74,2381.0,6.0,36.0,1,26.22
14.0,100.0,2.73,2103.0,5.0,36.0,1,23.861
17.0,70.0,1.74,3920.0,3.0,47.0,1,21.801
5.0,119.0,3.49,1231.0,9.0,27.0,1,26.123
16.0,146.0,2.45,748.0,6.0,56.0,1,201.95
32.0,77.0,5.0,3854.0,7.0,45.0,1,14.483
5.0,81.0,0.8,1103.0,5.0,59.0,1,32.625
26.0,132.0,3.92,895.0,5.0,47.0,1,221.76
12.0,106.0,3.78,659.0,10.0,28.0,1,184.54
28.0,138.0,2.25,2228.0,10.0,27.0,1,31.172
30.0,149.0,2.37,1095.0,7.0,33.0,0,nan
37.0,135.0,0.64,2269.0,6.0,48.0,1,46.398
26.0,146.0,0.91,3560.0,6.0,39.0,1,14.031
28.0,145.0,2.89,3701.0,9.0,47.0,1,14.113
43.0,111.0,4.93,3375.0,8.0,58.0,1,23.907
18.0,144.0,1.63,2917.0,5.0,44.0,1,16.009
13.0,53.0,1.95,1091.0,5.0,49.0,1,75.844
21.0,148.0,1.15,2692.0,8.0,20.0,1,16.433
28.0,85.0,2.28,2867.0,6.0,44.0,1,20.766
12.0,141.0,1.35,3236.0,10.0,48.0,1,8.6951
14.0,88.0,1.26,3606.0,4.0,47.0,1,9.9279
41.0,87.0,3.93,1724.0,7.0,54.0,1,78.772
25.0,81.0,0.77,2711.0,9.0,42.0,1,19.792
5.0,149.0,2.61,2178.0,3.0,54.0,1,12.968
